Name,ObjVal
20140813T111714.csv,23.8
20140813T111744.csv,26
20140813T111836.csv,22.32
20140813T111729.csv,28.6
20140813T111731.csv,20.6
20140813T111619.csv,50.4
20140813T111628.csv,35.8
20140813T111716.csv,22.6
20140813T111611.csv,27.8
20140813T111950.csv,15.78
20140813T111746.csv,22.21
20140813T112001.csv,15.1
20140813T111750.csv,35.79
20140813T111931.csv,17.9
20140813T111644.csv,38.81
20140813T111740.csv,22.8
20140813T111655.csv,45
20140813T111640.csv,39.8
20140813T112005.csv,13.68
20140813T111912.csv,22.03
20140813T111725.csv,29.6
20140813T111927.csv,27.8
20140813T111910.csv,22.28
20140813T111626.csv,28.4
20140813T111659.csv,48.6
20140813T111959.csv,19.6
20140813T111718.csv,24.43
20140813T111941.csv,11.53
20140813T111813.csv,25.6
20140813T111630.csv,47.6
20140813T111805.csv,25.08
20140813T111830.csv,20.6
20140813T111916.csv,17.39
20140813T112003.csv,12.53
20140813T111642.csv,39.4
20140813T111807.csv,27.84
20140813T111623.csv,40.46
20140813T111735.csv,24.4
20140813T111948.csv,18.4
20140813T111705.csv,36.8
20140813T111849.csv,20.8
20140813T111841.csv,17.6
20140813T111824.csv,20.8
20140813T111811.csv,34.2
20140813T111956.csv,17.21
20140813T111722.csv,22.24
20140813T111843.csv,18.31
20140813T111708.csv,29.2
20140813T111922.csv,20.2
20140813T111943.csv,14.35
20140813T111703.csv,45.07
20140813T111752.csv,29.8
20140813T111935.csv,13.8
20140813T111853.csv,18.13
20140813T111945.csv,11.98
20140813T111613.csv,32.35
20140813T111754.csv,26.66
20140813T111939.csv,14.8
20140813T111832.csv,16.2
20140813T111651.csv,54.4
20140813T111801.csv,43.4
20140813T111815.csv,23
20140813T111933.csv,14
20140813T111822.csv,22.2
20140813T112014.csv,24.2
20140813T111657.csv,36.59
20140813T111954.csv,13.4
20140813T111621.csv,37.12
20140813T111742.csv,30.6
20140813T111908.csv,20.2
20140813T111604.csv,36.4
20140813T111638.csv,22.6
20140813T111845.csv,24.2
20140813T111817.csv,22.52
20140813T111809.csv,37.6
20140813T111838.csv,19.37
20140813T111904.csv,48.4
20140813T111820.csv,30
20140813T111710.csv,25.2
20140813T111634.csv,28.6
20140813T111952.csv,13.4
20140813T111636.csv,29.75
20140813T111918.csv,20.2
20140813T111737.csv,31.8
20140813T112010.csv,16.2
20140813T111920.csv,22.6
20140813T111653.csv,31.58
20140813T111701.csv,38.44
20140813T111733.csv,26.8
20140813T111859.csv,31.4
20140813T112016.csv,10.39
20140813T111617.csv,37
20140813T111712.csv,23.6
20140813T111727.csv,30.2
20140813T111632.csv,31.88
20140813T111646.csv,36.19
20140813T111756.csv,28.62
20140813T111906.csv,20.2
20140813T111902.csv,22.2
20140813T111803.csv,24
20140813T111855.csv,26
20140813T112007.csv,15.8
20140813T111609.csv,47.6
20140813T111929.csv,17.4
20140813T111720.csv,22.16
20140813T111834.csv,19.4
20140813T111758.csv,32.6
20140813T111748.csv,23.76
20140813T111937.csv,18.6
20140813T111826.csv,20.8
20140813T112012.csv,17.2
20140813T111857.csv,21.19
20140813T111649.csv,35.8
20140813T111606.csv,55
20140813T111828.csv,21.4
20140813T111847.csv,18.66
20140813T111851.csv,18.8
20140813T111914.csv,17.9
20140813T111925.csv,27
20140813T111615.csv,37.6
